id,date,salesman,client,state,product,quantity,unit_price,total_price
1,07/01/2020,Sergio,Apple,Tamaulipas,Aluminio,97.2324,2609.1342,253692.3802
2,26/01/2020,Juan,Sony,Nuevo León,Hierro,57.761,3068.8695,177260.9712
3,24/01/2020,Miguel,Amazon,Jalisco,Cinc,76.7531,4860.3801,373049.2399
4,22/09/2020,Rodrigo,Microsoft,Tamaulipas,Platino,58.5154,4424.815,258919.8197
5,24/06/2020,Miguel,Amazon,Veracruz,Cinc,22.1371,3103.9119,68711.6081
6,07/04/2020,Sergio,Sony,Puebla,Níquel,42.4115,1995.5013,84632.2034
7,19/08/2020,Sergio,Microsoft,Tamaulipas,Cinc,86.0515,1272.5677,109506.3594
8,05/04/2020,Felipe,Microsoft,Ciudad de México,Platino,29.6523,3573.1975,105953.5242
9,23/09/2020,Miguel,Amazon,Puebla,Níquel,81.5696,3971.1698,323926.7321
10,21/05/2020,Daniel,Amazon,Puebla,Titanio,75.6027,1500.5722,113447.3099
11,14/09/2020,Rodrigo,Netflix,Guerrero,Níquel,31.302,1912.4169,59862.4738
12,06/01/2020,Felipe,Netflix,Puebla,Plata,98.9245,2671.4679,264273.6263
13,27/01/2020,Rodrigo,Sony,Jalisco,Platino,88.9552,189.0634,16818.1726
14,13/06/2020,Miguel,Amazon,Tamaulipas,Níquel,4.5588,4441.072,20245.959
15,12/02/2020,Daniel,Spotify,Tamaulipas,Cobre,27.7036,2030.3238,56247.2784
16,29/11/2020,Alejandro,Microsoft,Puebla,Hierro,95.1171,3908.6193,371776.5328
17,21/12/2020,Alejandro,Huawei,Ciudad de México,Níquel,73.4883,364.5997,26793.8121
18,14/08/2020,Javier,Google,Nuevo León,Níquel,48.1132,2180.4199,104906.9787
19,26/11/2020,David,Amazon,Jalisco,Cinc,43.4932,440.7648,19170.2716
20,05/06/2020,Rodrigo,Samsung,Nuevo León,Hierro,12.5302,267.5626,3352.6129
21,12/08/2020,Carlos,Huawei,Guerrero,Zinc,91.3078,727.4281,66419.8595
22,05/09/2020,Rodrigo,Google,Michoacán,Platino,53.7486,279.7389,15035.5742
23,09/01/2020,Javier,Facebook,Puebla,Oro,23.2044,4840.4607,112319.9863
24,16/08/2020,Miguel,Sony,Tamaulipas,Oro,63.2879,3063.3305,193871.7544
25,01/07/2020,Alejandro,Apple,Jalisco,Platino,57.3473,4713.9513,270332.3794
26,03/09/2020,Rodrigo,Facebook,Jalisco,Aluminio,25.1114,2857.9329,71766.6962
27,31/10/2020,Juan,Apple,Veracruz,Aluminio,8.8517,2930.9356,25943.7627
28,30/04/2020,Felipe,Apple,Puebla,Plata,97.9053,2191.383,214548.01
29,20/10/2020,Juan,Apple,Tamaulipas,Cinc,70.1555,1545.0348,108392.6889
30,02/10/2020,Felipe,Apple,Guerrero,Cobre,77.4347,3785.3973,293121.1043
31,22/08/2020,David,Amazon,Nuevo León,Aluminio,23.6049,3635.6888,85820.0706
32,13/09/2020,Juan,Amazon,Nuevo León,Níquel,83.8776,4407.2773,369671.8425
33,13/10/2020,Felipe,Netflix,Guerrero,Cinc,20.3927,2745.8742,55995.7888
34,18/08/2020,Rodrigo,Facebook,Tamaulipas,Cobre,53.1206,2408.0868,127919.0157
35,28/05/2020,Miguel,Netflix,Jalisco,Níquel,10.0187,1664.2877,16673.9992
36,18/12/2020,Miguel,Amazon,Michoacán,Aluminio,31.1244,3937.7075,122558.7833
37,26/05/2020,Carlos,Google,Tamaulipas,Plata,25.0168,3223.8695,80650.8985
38,23/02/2020,Sergio,Netflix,Michoacán,Oro,89.5288,2400.1594,214883.3909
39,28/11/2020,Sergio,Netflix,Nuevo León,Oro,51.2427,3530.1827,180896.093
40,08/02/2020,Daniel,Netflix,Veracruz,Cinc,17.737,4786.1176,84891.3679
41,04/11/2020,Carlos,Amazon,Michoacán,Aluminio,44.9914,4939.2257,222222.6792
42,17/05/2020,Carlos,Sony,Tamaulipas,Aluminio,27.0638,4942.9587,133775.2457
43,18/04/2020,Juan,Google,Puebla,Platino,24.8817,2328.4744,57936.4015
44,14/05/2020,David,Facebook,Tamaulipas,Oro,73.7502,4914.3667,362435.527
45,06/07/2020,Javier,Microsoft,Puebla,Cinc,95.151,4706.0532,447785.668
46,12/07/2020,Alejandro,Apple,Nuevo León,Oro,26.8683,1573.7844,42284.9114
47,01/10/2020,Juan,Samsung,Ciudad de México,Cobre,65.8203,4853.0805,319431.2144
48,06/02/2020,David,Microsoft,Nuevo León,Aluminio,85.7064,1045.0821,89570.2245
49,05/09/2020,Rodrigo,Spotify,Nuevo León,Cobre,92.4602,447.8288,41406.3404
50,31/08/2020,Sergio,Google,Nuevo León,Aluminio,44.7568,2154.488,96427.9885
51,18/09/2020,Javier,Google,Michoacán,Platino,19.0291,4594.6069,87431.2342
52,23/11/2020,Miguel,Microsoft,Michoacán,Zinc,46.328,233.316,10809.0636
53,21/05/2020,Javier,Spotify,Nuevo León,Cinc,80.693,1558.2274,125738.0436
54,20/03/2020,Daniel,Sony,Tamaulipas,Aluminio,30.837,3492.9798,107713.0181
55,02/12/2020,Javier,Microsoft,Ciudad de México,Cobre,90.8874,4964.7279,451231.2105
56,08/10/2020,Alejandro,Sony,Jalisco,Plata,18.2206,2395.0857,43639.8985
57,02/04/2020,Felipe,Samsung,Puebla,Oro,42.2681,1334.6248,56412.0545
58,15/05/2020,Felipe,Samsung,Nuevo León,Aluminio,93.7671,1289.9033,120950.4917
59,17/08/2020,Daniel,Microsoft,Michoacán,Aluminio,50.4421,1586.9258,80047.8699
60,03/05/2020,Carlos,Sony,Jalisco,Aluminio,14.4887,2957.0864,42844.3377
61,22/12/2020,Sergio,Apple,Jalisco,Cobre,4.5315,2242.5897,10162.2952
62,14/05/2020,Miguel,Samsung,Nuevo León,Plata,50.6384,3468.7925,175654.1021
